id_str,user_id_str,created_at,screen_name,location,hashtag
1718055729720947037,1121466332669775878,Sat Oct 28 00:03:00 +0000 2023,ChinaEmbajadaRD,National District,EEUU
1718055729720947037,1121466332669775878,Sat Oct 28 00:03:00 +0000 2023,ChinaEmbajadaRD,National District,GavinNewsom
1718055729720947037,1121466332669775878,Sat Oct 28 00:03:00 +0000 2023,ChinaEmbajadaRD,National District,China
1718002474030702839,1121466332669775878,Fri Oct 27 20:31:23 +0000 2023,ChinaEmbajadaRD,National District,China
1718002474030702839,1121466332669775878,Fri Oct 27 20:31:23 +0000 2023,ChinaEmbajadaRD,National District,ViajaraChina
1718002474030702839,1121466332669775878,Fri Oct 27 20:31:23 +0000 2023,ChinaEmbajadaRD,National District,PaisajesdeChina
1718002474030702839,1121466332669775878,Fri Oct 27 20:31:23 +0000 2023,ChinaEmbajadaRD,National District,ChinaenRD
1717912477269131286,1121466332669775878,Fri Oct 27 14:33:46 +0000 2023,ChinaEmbajadaRD,National District,UNESCO
1717912477269131286,1121466332669775878,Fri Oct 27 14:33:46 +0000 2023,ChinaEmbajadaRD,National District,TaiChí
1717912477269131286,1121466332669775878,Fri Oct 27 14:33:46 +0000 2023,ChinaEmbajadaRD,National District,China
1717621644598866339,1121466332669775878,Thu Oct 26 19:18:06 +0000 2023,ChinaEmbajadaRD,National District,bancocentraldeChina
1717621644598866339,1121466332669775878,Thu Oct 26 19:18:06 +0000 2023,ChinaEmbajadaRD,National District,pandas
1717621644598866339,1121466332669775878,Thu Oct 26 19:18:06 +0000 2023,ChinaEmbajadaRD,National District,China
1717621644598866339,1121466332669775878,Thu Oct 26 19:18:06 +0000 2023,ChinaEmbajadaRD,National District,coleccióndemonedas
1717270032403530202,1121466332669775878,Wed Oct 25 20:00:55 +0000 2023,ChinaEmbajadaRD,National District,China
1717270032403530202,1121466332669775878,Wed Oct 25 20:00:55 +0000 2023,ChinaEmbajadaRD,National District,Taikonautas
1717270032403530202,1121466332669775878,Wed Oct 25 20:00:55 +0000 2023,ChinaEmbajadaRD,National District,SatéliteJiuquan
1717270032403530202,1121466332669775878,Wed Oct 25 20:00:55 +0000 2023,ChinaEmbajadaRD,National District,Shenzhou16
1717270032403530202,1121466332669775878,Wed Oct 25 20:00:55 +0000 2023,ChinaEmbajadaRD,National District,ChinaenRD
1717179428671820217,1121466332669775878,Wed Oct 25 14:00:54 +0000 2023,ChinaEmbajadaRD,National District,China
1717179428671820217,1121466332669775878,Wed Oct 25 14:00:54 +0000 2023,ChinaEmbajadaRD,National District,AméricaLatina
