is_blue_verified,created_at,description,favourites_count,followers_count,friends_count,listed_count,location,media_count,name,normal_followers_count,pinned_tweet_ids_str,possibly_sensitive,profile_banner_url,profile_image_url_https,screen_name,statuses_count,verified,want_retweets,withheld_in_countries,professional_type,smart_blocked_by,smart_blocking,has_hidden_likes_on_profile,has_hidden_subscriptions_on_profile,is_identity_verified,verified_since_msec,can_highlight_tweets,highlighted_tweets,creator_subscriptions_count,url_0_display,url_0_expanded,url_0_url
False,Sat Oct 21 07:57:14 +0000 2017,Watch Your Step.,89,8,273,1,Israel,46,SʜᴀʟʜᴇᴠᴇᴛʏᴀH,8,[],False,https://pbs.twimg.com/profile_banners/921646545400770560/1626091157,https://pbs.twimg.com/profile_images/1131529870700417025/T-RDPc-Y_normal.png,Shalevetyah,90,False,False,[],,False,False,False,False,False,,False,0,0,,,
False,Wed Jan 23 03:12:00 +0000 2013,Video journalist @ChinaDaily  #MediaUnlocked,985,1006,696,14,,483,Meng Zhe,1006,['1668518972092977152'],False,https://pbs.twimg.com/profile_banners/1113306385/1606188012,https://pbs.twimg.com/profile_images/1050503460431548416/sAz1Dx7F_normal.jpg,SXiaochuan258,2140,False,False,[],Creator,False,False,False,False,False,,False,0,0,,,
False,Sat Nov 05 14:40:20 +0000 2016,,11,324,32,1,中华人民共和国,2,He Weiwei,324,[],False,https://pbs.twimg.com/profile_banners/794912233578840064/1486306799,https://pbs.twimg.com/profile_images/971640597877420032/ShJuWyUb_normal.jpg,heweiwei_,31,False,False,[],,False,False,False,False,False,,False,0,0,,,
True,Fri Aug 30 05:10:53 +0000 2019,"CG of China in Kolkata 中国驻加尔各答总领事
A product of Chinese education system. Comment on things of personal interest and tell stories of immense significance.",17824,25780,2393,225,,4644,CG_Zha Liyou查立友,25780,['1725393109826318820'],False,https://pbs.twimg.com/profile_banners/1167303027503403008/1576061913,https://pbs.twimg.com/profile_images/1299209212006809600/PdRY6vUt_normal.jpg,ZhaLiyou,41543,False,False,[],,False,False,False,False,False,1571982313122,True,1,0,,,
False,Tue Aug 03 08:40:15 +0000 2021,Seize the trends,5888,6403,301,17,,2479,The Tide,6403,[],False,https://pbs.twimg.com/profile_banners/1422477289661468672/1628565577,https://pbs.twimg.com/profile_images/1666665006300299265/vb0mvlwK_normal.jpg,TideNewsZJ,2944,False,False,[],,False,False,False,False,False,1683147810505,False,0,0,tianmunews.com/tm_recommend.h…,https://tianmunews.com/tm_recommend.html,https://t.co/H9Gt6fs70Z
False,Mon Nov 23 06:56:23 +0000 2015,"Visit China and discover beautiful places, oriental culture, trendy lifestyle and more. https://t.co/NY6tsn5Dod",149,24743,150,81,Beijing,7373,China Culture,24743,['1718826670444925378'],False,https://pbs.twimg.com/profile_banners/4331355020/1586047553,https://pbs.twimg.com/profile_images/1246599894036402176/AgizHlyv_normal.jpg,Chinacultureorg,9648,False,False,[],,False,False,False,False,False,,False,0,0,en.chinaculture.org,http://en.chinaculture.org,https://t.co/NY6tsn5Dod
True,Thu Apr 02 10:48:42 +0000 2020,Official account of the Embassy of the People's Republic of China in the State of Kuwait الحساب الرسمي لسفارة جمهورية الصين الشعبية في دولة الكويت,142,3715,53,54,Kuwait,752,Embassy of China in Kuwait سفارة الصين في الكويت,3715,[],False,https://pbs.twimg.com/profile_banners/1245664329912942592/1586515832,https://pbs.twimg.com/profile_images/1248564006672945159/JORFtyh5_normal.jpg,ChinaEmbKuwait,1457,False,False,[],Creator,False,False,False,False,False,1596500256319,True,0,0,,,
False,Wed Feb 14 21:28:49 +0000 2018,"Counsellor, Information Department, MFA, China
中国外交部新闻司参赞
husband & dad, jogger & swimmer...",8065,17604,260,75,Beijing,2253,Caoli 曹利,17604,['1581498260669501440'],False,https://pbs.twimg.com/profile_banners/963887779628376064/1652102842,https://pbs.twimg.com/profile_images/1504027391445790722/iiHOKKBg_normal.jpg,Cao_Li_CHN,4209,False,False,[],Creator,False,False,False,False,False,,False,0,0,fmprc.gov.cn,http://www.fmprc.gov.cn,https://t.co/CtGlUKj0TL
False,Sun Mar 28 11:53:10 +0000 2021,"Follow me for more places, daily life, and stories around Zhengzhou, China.
天地之中 华夏之源 功夫郑州",1946,14903,2423,8,"Zhengzhou, China",2000,WhereZhengzhou,14903,[],False,https://pbs.twimg.com/profile_banners/1376140251312254981/1625058113,https://pbs.twimg.com/profile_images/1461877420890411016/c-ZWJKe1_normal.jpg,Where_Zhengzhou,2306,False,False,[],Creator,False,False,False,False,False,,False,0,0,,,
False,Tue Aug 04 02:26:14 +0000 2020,"🤫О неизведанном Китае
😉Об интересных китайцах, включая меня",6,91,7,2,,73,QiTong Channel,91,[],False,https://pbs.twimg.com/profile_banners/1290474035860578311/1616060201,https://pbs.twimg.com/profile_images/1420294244841902082/ttG8BxIA_normal.jpg,IN_Studio2020,101,False,False,[],,False,False,False,False,False,,False,0,0,,,
